productid,division,gender,category
00567228914507,APPAREL,KIDS,CRICKET
00565177969035,FOOTWEAR,MENS,COLLECTIONS
00565177969059,APPAREL,KIDS,COLLECTIONS
00567228317407,APPAREL,MENS,HOCKEY
00565177969042,APPAREL,WOMENS,COLLECTIONS
00564802779339,APPAREL,MENS,KABBADI
00564802779193,APPAREL,MENS,BASEBALL
00565177969080,FOOTWEAR,MENS,COLLECTIONS
00564802779230,APPAREL,MENS,GOLF
00567228914452,APPAREL,KIDS,CRICKET
00562801460043,APPAREL,MENS, SPINE
00568407032141,APPAREL,MENS,COLLECTIONS
00562801651212,APPAREL,MENS,COLLECTIONS
00091203971983,APPAREL,WOMENS,TENNIS
00564802779179,APPAREL,UNISEX,SWIMMING
00564802779209,APPAREL,MENS,DART
00567228914476,APPAREL,UNISEX,CRICKET
00565177969076,APPAREL,MENS,COLLECTIONS
00564802779346,APPAREL,MENS,GOLF
00566915022258,FOOTWEAR,KIDS, BASKETBALL
