saleId,netSales,salesUnits,storeId,dateId,productId
1,300.24,5,409,4965,00567228914507
2,300.24,5,409,4965,00567228914507
3,300.24,5,409,4965,00567228914507
4,300.24,5,409,4965,00567228914507
5,300.24,5,411,4965,00567228914507
6,300.24,5,411,4965,00567228914507
7,300.24,5,409,4965,00567228914507
8,300.24,5,411,4965,00567228914507
9,300.24,5,409,4965,00567228914507
10,300.24,5,409,4965,00567228914507
11,300.24,5,409,4965,00567228914507
12,300.24,5,411,4965,00567228914507
13,300.24,5,409,4965,00567228914507
14,300.24,5,409,4965,00567228914507
15,300.24,5,409,4965,00567228914507
16,300.24,5,409,4965,00567228914507
17,300.24,2,409,4965,00567228914507
18,300.24,5,409,4965,00567228914507
19,300.24,5,409,4965,00567228914507
20,300.24,5,409,4965,00567228914507
21,300.24,5,409,4965,00567228914507
22,300.24,5,409,4965,00567228914507
23,300.24,5,419,4965,00567228914507
24,300.24,5,409,4965,00567228914507
25,300.24,5,409,4967,00567228914507
26,300.24,5,409,4965,00567228914507
27,300.24,8,419,4965,00567228914507
28,300.24,5,409,4965,00567228914507
29,300.24,5,409,4967,00567228914507
30,300.24,5,409,4965,00567228914507
31,300.24,5,419,4965,00567228914507
32,300.24,5,409,4965,00567228914507
33,300.24,5,409,4965,00567228914507
34,300.24,7,409,4967,00567228914507
35,300.24,5,409,4965,00567228914507
36,300.24,5,419,4965,00567228914507
37,300.24,5,409,4965,00567228914507
38,300.24,5,409,4968,00567228914507
39,300.24,5,419,4965,00567228914507
40,300.24,2,409,4965,00567228914507
127,300.24,8,419,4965,00565177969035
128,400.24,5,409,4965,00565177969035
129,200.24,5,409,4968,00565177969035
130,500.24,5,409,4965,00565177969035
131,300.24,5,419,4965,00565177969035
132,305.24,5,409,4965,00565177969035
133,30.24,5,409,4968,00565177969035
134,30.24,7,409,4965,00565177969035
135,800.24,5,409,4967,00565177969035
136,900.24,5,419,4965,00565177969035
1110,301.24,5,409,4967,00565177969059
1111,309.24,5,409,4967,00565177969059
1112,300.24,5,411,4967,00565177969059
1113,360.24,5,409,4967,00565177969059
1114,300.24,6,409,4967,00565177969059
1115,380.24,5,409,4967,00565177969059
1116,300.24,5,409,4965,00565177969059
1117,300.24,2,409,4965,00565177969059
1118,300.24,8,409,4965,00565177969059
1119,300.24,5,409,4965,00565177969059
1120,300.24,5,409,4965,00565177969059
1121,400.24,5,409,4965,00565177969059
1122,500.24,7,409,4965,00565177969059
1123,700.24,5,419,4965,00565177969059
1124,300.24,5,409,4965,00565177969059
1125,300.64,5,409,4966,00565177969059
1126,370.74,5,409,4966,00565177969059
1127,450.24,8,419,4966,00565177969059
1128,909.24,8,409,4966,00565177969059
1129,808.24,7,409,4966,00565177969059
