storeid,channel,country
409,Digital,INDIA
410,Digital,CHINA
411,Digital,AUSTRIA     
412,Store,BELGIUM     
413,Digital,DENMARK     
414,Digital,FINLAND     
415,Store,FRANCE      
416,Digital,GERMANY     
417,Digital,IRELAND     
418,Digital,ITALY       
419,Digital,LUXEMBOURG  
420,Store,NETHERLANDS 
421,Digital,SPAIN       
422,Digital,SWEDEN      
423,Digital,UK          
424,Store,PORTUGAL    
425,Digital,GREECE      
426,Digital,SLOVENIA    
427,Store,POLAND      
428,Digital,HUNGARY     
